"alphaCode_bc","comName","comName_tmp","alphaCode_bc_tmp","speciesCode","comNameCode","bandingCode","sciNameCode","sciName"
"BRCO","Brandt's Cormorant","Brandt's Cormorant","BRCO","bracor","BRCO","BRAC","URPE","Urile penicillatus"
"BRCR","Brown Creeper","Brown Creeper","BRCR","brncre","AMTR ABCR","BRCR","CEAM","Certhia americana"
"BRSP","Brewer's Sparrow","Brewer's Sparrow","BRSP","brespa","","BRSP","SPBR","Spizella breweri"
"BRTH","Brown Thrasher","Brown Thrasher","BRTH","brnthr","","BRTH","TORU","Toxostoma rufum"
"BTBW","Black-throated Blue Warbler","Black-throated Blue Warbler","BTBW","btbwar","","BTBW","SECA","Setophaga caerulescens"
"BTGW","Black-throated Gray Warbler","Black-throated Gray Warbler","BTGW","btywar","BTGW","BTYW","SENI","Setophaga nigrescens"
"BTHU","Broad-tailed Hummingbird","Broad-tailed Hummingbird","BTHU","brthum","","BTHU","SEPL","Selasphorus platycercus"
"BTNW","Black-throated Green Warbler","Black-throated Green Warbler","BTNW","btnwar","BTGW","BTNW","SEVI","Setophaga virens"
"BTPI","Band-tailed Pigeon","Band-tailed Pigeon","BTPI","batpig1","NBTP","BTPI","PAFA","Patagioenas fasciata"
"BTSP","Black-throated Sparrow","Black-throated Sparrow","BTSP","bktspa","","BTSP","AMBI","Amphispiza bilineata"
"BUFF","Bufflehead","Bufflehead","BUFF","buffle","","BUFF","BUAL","Bucephala albeola"
"BUOR","Bullock's Oriole","Bullock's Oriole","BUOR","bulori","","BUOR","ICBU","Icterus bullockii"
"BUOW","Burrowing Owl","Burrowing Owl","BUOW","burowl","","BUOW","ATCU","Athene cunicularia"
"BUSH","Bushtit","Bushtit","BUSH","bushti","AMBU","BUSH","PSMI","Psaltriparus minimus"
"BWHA","Broad-winged Hawk","Broad-winged Hawk","BWHA","brwhaw","","BWHA","BUPL","Buteo platypterus"
"BWTE","Blue-winged Teal","Blue-winged Teal","BWTE","buwtea","","BWTE","SPDI","Spatula discors"
"CAAU","Cassin's Auklet","Cassin's Auklet","CAAU","casauk","","CAAU","PTAL","Ptychoramphus aleuticus"
"CAFI","Cassin's Finch","Cassin's Finch","CAFI","casfin","","CAFI","HACA","Haemorhous cassinii"
"CAGO","Canada Goose","Canada Goose","CAGO","cangoo","CAGO","CANG","BRCA","Branta canadensis"
"CAGU","California Gull","California Gull","CAGU","calgul","","CAGU","LACA","Larus californicus"
"CAHU","Calliope Hummingbird","Calliope Hummingbird","CAHU","calhum","","CAHU","SECA","Selasphorus calliope"
"CANV","Canvasback","Canvasback","CANV","canvas","","CANV","AYVA","Aythya valisineria"
"CAQU","California Quail","California Quail","CAQU","calqua","","CAQU","CACA","Callipepla californica"
"CATE","Caspian Tern","Caspian Tern","CATE","caster1","","CATE","HYCA","Hydroprogne caspia"
"CAVI","Cassin's Vireo","Cassin's Vireo","CAVI","casvir","","CAVI","VICA","Vireo cassinii"
"CAWA","Canada Warbler","Canada Warbler","CAWA","canwar","","CAWA","CACA","Cardellina canadensis"
"CAWR","Canyon Wren","Canyon Wren","CAWR","canwre","CAWR","CANW","CAME","Catherpes mexicanus"
"CBCH","Chestnut-backed Chickadee","Chestnut-backed Chickadee","CBCH","chbchi","","CBCH","PORU","Poecile rufescens"
"CCSP","Clay-colored Sparrow","Clay-colored Sparrow","CCSP","clcspa","","CCSP","SPPA","Spizella pallida"
"CEWA","Cedar Waxwing","Cedar Waxwing","CEWA","cedwax","CEWA","CEDW","BOCE","Bombycilla cedrorum"
