"speciesCode","comNameCode","bandingCode","comName","sciNameCode","sciName","familyComName","familySciName","familyCode","order"
"eargre","BNGR","EAGR","Eared Grebe","PONI","Podiceps nigricollis","Grebes","Podicipedidae","podici1","Podicipediformes"
"wesgre","","WEGR","Western Grebe","AEOC","Aechmophorus occidentalis","Grebes","Podicipedidae","podici1","Podicipediformes"
"rocpig","ROPI RODO","","Rock Pigeon","COLI","Columba livia","Pigeons and Doves","Columbidae","columb2","Columbiformes"
"batpig1","NBTP","BTPI","Band-tailed Pigeon","PAFA","Patagioenas fasciata","Pigeons and Doves","Columbidae","columb2","Columbiformes"
"eucdov","CODO ECDO","EUCD","Eurasian Collared-Dove","STDE","Streptopelia decaocto","Pigeons and Doves","Columbidae","columb2","Columbiformes"
"moudov","","MODO","Mourning Dove","ZEMA","Zenaida macroura","Pigeons and Doves","Columbidae","columb2","Columbiformes"
"comnig","","CONI","Common Nighthawk","CHMI","Chordeiles minor","Nightjars and Allies","Caprimulgidae","caprim2","Caprimulgiformes"
"blkswi","ABSW","BLSW","Black Swift","CYNI","Cypseloides niger","Swifts","Apodidae","apodid1","Caprimulgiformes"
"vauswi","","VASW","Vaux's Swift","CHVA","Chaetura vauxi","Swifts","Apodidae","apodid1","Caprimulgiformes"
"whtswi","","WTSW","White-throated Swift","AESA","Aeronautes saxatalis","Swifts","Apodidae","apodid1","Caprimulgiformes"
"annhum","","ANHU","Anna's Hummingbird","CAAN","Calypte anna","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"calhum","","CAHU","Calliope Hummingbird","SECA","Selasphorus calliope","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"rufhum","","RUHU","Rufous Hummingbird","SERU","Selasphorus rufus","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"virrai","","VIRA","Virginia Rail","RALI","Rallus limicola","Rails, Gallinules, and Coots","Rallidae","rallid1","Gruiformes"
"sora","","SORA","Sora","POCA","Porzana carolina","Rails, Gallinules, and Coots","Rallidae","rallid1","Gruiformes"
"y00475","","AMCO","American Coot","FUAM","Fulica americana","Rails, Gallinules, and Coots","Rallidae","rallid1","Gruiformes"
"sancra","","SACR","Sandhill Crane","ANCA","Antigone canadensis","Cranes","Gruidae","gruida1","Gruiformes"
"blkoys","","BLOY","Black Oystercatcher","HABA","Haematopus bachmani","Oystercatchers","Haematopodidae","haemat1","Charadriiformes"
"bkbplo","GRPL","BBPL","Black-bellied Plover","PLSQ","Pluvialis squatarola","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
"killde","","KILL","Killdeer","CHVO","Charadrius vociferus","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
