"speciesCode","comNameCode","bandingCode","comName","sciNameCode","sciName","familyComName","familySciName","familyCode","order"
"houfin","","HOFI","House Finch","HAME","Haemorhous mexicanus","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes"
"purfin","","PUFI","Purple Finch","HAPU","Haemorhous purpureus","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes"
"comred","REDP","CORE","Common Redpoll","ACFL","Acanthis flammea","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes"
"redcro","COCR","RECR","Red Crossbill","LOCU","Loxia curvirostra","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes"
"whwcro","TBCR","WWCR","White-winged Crossbill","LOLE","Loxia leucoptera","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes"
"pinsis","","PISI","Pine Siskin","SPPI","Spinus pinus","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes"
"amegfi","AMGO","AGOL","American Goldfinch","SPTR","Spinus tristis","Finches, Euphonias, and Allies","Fringillidae","fringi1","Passeriformes"
"laplon","LABU","LALO","Lapland Longspur","CALA","Calcarius lapponicus","Longspurs and Snow Buntings","Calcariidae","calcar1","Passeriformes"
"chclon","","CCLO","Chestnut-collared Longspur","CAOR","Calcarius ornatus","Longspurs and Snow Buntings","Calcariidae","calcar1","Passeriformes"
"snobun","","SNBU","Snow Bunting","PLNI","Plectrophenax nivalis","Longspurs and Snow Buntings","Calcariidae","calcar1","Passeriformes"
"chispa","","CHSP","Chipping Sparrow","SPPA","Spizella passerina","New World Sparrows","Passerellidae","passer3","Passeriformes"
"clcspa","","CCSP","Clay-colored Sparrow","SPPA","Spizella pallida","New World Sparrows","Passerellidae","passer3","Passeriformes"
"amtspa","","ATSP","American Tree Sparrow","SPAR","Spizelloides arborea","New World Sparrows","Passerellidae","passer3","Passeriformes"
"foxspa","FSSP","FOSP","Fox Sparrow","PAIL","Passerella iliaca","New World Sparrows","Passerellidae","passer3","Passeriformes"
"daejun","","DEJU","Dark-eyed Junco","JUHY","Junco hyemalis","New World Sparrows","Passerellidae","passer3","Passeriformes"
"whcspa","","WCSP","White-crowned Sparrow","ZOLE","Zonotrichia leucophrys","New World Sparrows","Passerellidae","passer3","Passeriformes"
"gocspa","","GCSP","Golden-crowned Sparrow","ZOAT","Zonotrichia atricapilla","New World Sparrows","Passerellidae","passer3","Passeriformes"
"harspa","","HASP","Harris's Sparrow","ZOQU","Zonotrichia querula","New World Sparrows","Passerellidae","passer3","Passeriformes"
"whtspa","","WTSP","White-throated Sparrow","ZOAL","Zonotrichia albicollis","New World Sparrows","Passerellidae","passer3","Passeriformes"
"vesspa","","VESP","Vesper Sparrow","POGR","Pooecetes gramineus","New World Sparrows","Passerellidae","passer3","Passeriformes"
"savspa","SASP SBBS","SAVS","Savannah Sparrow","PASA","Passerculus sandwichensis","New World Sparrows","Passerellidae","passer3","Passeriformes"
"sonspa","","SOSP","Song Sparrow","MEME","Melospiza melodia","New World Sparrows","Passerellidae","passer3","Passeriformes"
"linspa","","LISP","Lincoln's Sparrow","MELI","Melospiza lincolnii","New World Sparrows","Passerellidae","passer3","Passeriformes"
"swaspa","","SWSP","Swamp Sparrow","MEGE","Melospiza georgiana","New World Sparrows","Passerellidae","passer3","Passeriformes"
"spotow","","SPTO","Spotted Towhee","PIMA","Pipilo maculatus","New World Sparrows","Passerellidae","passer3","Passeriformes"
"yehbla","","YHBL","Yellow-headed Blackbird","XAXA","Xanthocephalus xanthocephalus","Troupials and Allies","Icteridae","icteri1","Passeriformes"
"wesmea","","WEME","Western Meadowlark","STNE","Sturnella neglecta","Troupials and Allies","Icteridae","icteri1","Passeriformes"
"bulori","","BUOR","Bullock's Oriole","ICBU","Icterus bullockii","Troupials and Allies","Icteridae","icteri1","Passeriformes"
"rewbla","","RWBL","Red-winged Blackbird","AGPH","Agelaius phoeniceus","Troupials and Allies","Icteridae","icteri1","Passeriformes"
"bnhcow","","BHCO","Brown-headed Cowbird","MOAT","Molothrus ater","Troupials and Allies","Icteridae","icteri1","Passeriformes"
"rusbla","","RUBL","Rusty Blackbird","EUCA","Euphagus carolinus","Troupials and Allies","Icteridae","icteri1","Passeriformes"
"brebla","","BRBL","Brewer's Blackbird","EUCY","Euphagus cyanocephalus","Troupials and Allies","Icteridae","icteri1","Passeriformes"
"norwat","","NOWA","Northern Waterthrush","PANO","Parkesia noveboracensis","New World Warblers","Parulidae","paruli1","Passeriformes"
"bawwar","","BAWW","Black-and-white Warbler","MNVA","Mniotilta varia","New World Warblers","Parulidae","paruli1","Passeriformes"
"tenwar","","TEWA","Tennessee Warbler","LEPE","Leiothlypis peregrina","New World Warblers","Parulidae","paruli1","Passeriformes"
"orcwar","","OCWA","Orange-crowned Warbler","LECE","Leiothlypis celata","New World Warblers","Parulidae","paruli1","Passeriformes"
"naswar","","NAWA","Nashville Warbler","LERU","Leiothlypis ruficapilla","New World Warblers","Parulidae","paruli1","Passeriformes"
"macwar","MAWA","MGWA","MacGillivray's Warbler","GETO","Geothlypis tolmiei","New World Warblers","Parulidae","paruli1","Passeriformes"
"comyel","","COYE","Common Yellowthroat","GETR","Geothlypis trichas","New World Warblers","Parulidae","paruli1","Passeriformes"
"amered","","AMRE","American Redstart","SERU","Setophaga ruticilla","New World Warblers","Parulidae","paruli1","Passeriformes"
"yelwar","AYWA MAWA","YEWA","Yellow Warbler","SEPE","Setophaga petechia","New World Warblers","Parulidae","paruli1","Passeriformes"
"bkpwar","BLWA","BLPW","Blackpoll Warbler","SEST","Setophaga striata","New World Warblers","Parulidae","paruli1","Passeriformes"
"palwar","","PAWA","Palm Warbler","SEPA","Setophaga palmarum","New World Warblers","Parulidae","paruli1","Passeriformes"
"yerwar","MYWA","YRWA","Yellow-rumped Warbler","SECO","Setophaga coronata","New World Warblers","Parulidae","paruli1","Passeriformes"
"btywar","BTGW","BTYW","Black-throated Gray Warbler","SENI","Setophaga nigrescens","New World Warblers","Parulidae","paruli1","Passeriformes"
"towwar","","TOWA","Townsend's Warbler","SETO","Setophaga townsendi","New World Warblers","Parulidae","paruli1","Passeriformes"
"x00867","BTGW TOWA BTYW","","Black-throated Gray x Townsend's Warbler (hybrid)","SENI SETO","Setophaga nigrescens x townsendi","New World Warblers","Parulidae","paruli1","Passeriformes"
"wlswar","","WIWA","Wilson's Warbler","CAPU","Cardellina pusilla","New World Warblers","Parulidae","paruli1","Passeriformes"
"westan","","WETA","Western Tanager","PILU","Piranga ludoviciana","Cardinals and Allies","Cardinalidae","cardin1","Passeriformes"
"bkhgro","","BHGR","Black-headed Grosbeak","PHME","Pheucticus melanocephalus","Cardinals and Allies","Cardinalidae","cardin1","Passeriformes"
"lazbun","LABU","LAZB","Lazuli Bunting","PAAM","Passerina amoena","Cardinals and Allies","Cardinalidae","cardin1","Passeriformes"
"hrthaw1","RTHA","HRLH","Red-tailed Hawk (Harlan's)","BUJA","Buteo jamaicensis harlani","Hawks, Eagles, and Kites","Accipitridae","accipi1","Accipitriformes"
"myrwar","MYWA YRWA","MYWA","Yellow-rumped Warbler (Myrtle)","SECO","Setophaga coronata coronata","New World Warblers","Parulidae","paruli1","Passeriformes"
"audwar","MYWA YRWA","AUWA","Yellow-rumped Warbler (Audubon's)","SECO","Setophaga coronata auduboni","New World Warblers","Parulidae","paruli1","Passeriformes"
