"alphaCode_bc","comName"
"NAWA","Nashville Warbler"
"NHOW","Northern Hawk Owl"
"NOBO","Northern Bobwhite"
"NOCR","Northwestern Crow"
"NOFL","Northern Flicker"
"NOFU","Northern Fulmar"
"NOGO","Northern Goshawk"
"NOHA","Northern Harrier"
"NOMO","Northern Mockingbird"
"NOPI","Northern Pintail"
"NOSH","Northern Shrike"
"NOSL","Northern Shoveler"
"NOWA","Northern Waterthrush"
"NPOW","Northern Pygmy-Owl"
"NRWS","Northern Rough-winged Swallow"
"NSTS","Nelson's Sparrow"
"NSWO","Northern Saw-whet Owl"
"OCWA","Orange-crowned Warbler"
"OSFL","Olive-sided Flycatcher"
"OSPR","Osprey"
"OVEN","Ovenbird"
"PAJA","Parasitic Jaeger"
"PALO","Pacific Loon"
"PAWA","Palm Warbler"
"PAWR","Pacific Wren"
"PBGR","Pied-billed Grebe"
"PEAF","Indian Peafowl"
"PECO","Pelagic Cormorant"
"PEFA","Peregrine Falcon"
"PHVI","Philadelphia Vireo"
"PIGR","Pine Grosbeak"
"PIGU","Pigeon Guillemot"
"PISI","Pine Siskin"
"PIWO","Pileated Woodpecker"
"POWA","Prothonotary Warbler"
"PRFA","Prairie Falcon"
"PSFL","Pacific-slope Flycatcher"
"PUFI","Purple Finch"
"PUMA","Purple Martin"
"PYNU","Pygmy Nuthatch"
"RBGR","Rose-breasted Grosbeak"
"RBGU","Ring-billed Gull"
"RBME","Red-breasted Merganser"
"RBNU","Red-breasted Nuthatch"
"RBSA","Red-breasted Sapsucker"
"RCKI","Ruby-crowned Kinglet"
"RECR","Red Crossbill"
"REDH","Redhead"
"REVI","Red-eyed Vireo"
"RHAU","Rhinoceros Auklet"
"RNDU","Ring-necked Duck"
"RNGR","Red-necked Grebe"
"RNPH","Ring-necked Pheasant"
"RNPL","Red-necked Phalarope"
"RNSA","Red-naped Sapsucker"
"ROPI","Rock Pigeon"
"ROPT","Rock Ptarmigan"
"ROWR","Rock Wren"
"RTHA","Red-tailed Hawk"
"RTHU","Ruby-throated Hummingbird"
"RTLO","Red-throated Loon"
"RUBL","Rusty Blackbird"
"RUDU","Ruddy Duck"
"RUGR","Ruffed Grouse"
"RUHU","Rufous Hummingbird"
"RWBL","Red-winged Blackbird"
"SACR","Sandhill Crane"
"SAHY","Sapsucker hybrid"
"SAPH","Say's Phoebe"
"SAPS","Unknown Sapsucker"
"SATH","Sage Thrasher"
"SAVS","Savannah Sparrow"
"SBDO","Short-billed Dowitcher"
"SEOW","Short-eared Owl"
"SEPL","Semipalmated Plover"
"SIPH","Silver Pheasant"
"SKLA","Sky Lark"
"SMLO","Smith's Longspur"
"SNBU","Snow Bunting"
"SNGO","Snow Goose"
"SOGR","Sooty Grouse"
"SORA","Sora"
"SOSA","Solitary Sandpiper"
"SOSP","Song Sparrow"
"SPGR","Spruce Grouse"
"SPOW","Spotted Owl"
"SPPI","Sprague's Pipit"
"SPSA","Spotted Sandpiper"
"SPTO","Spotted Towhee"
"SSHA","Sharp-shinned Hawk"
"STGR","Sharp-tailed Grouse"
"STJA","Steller's Jay"
"SUSC","Surf Scoter"
"SUTA","Summer Tanager"
"SWHA","Swainson's Hawk"
"SWSP","Swamp Sparrow"
"SWTH","Swainson's Thrush"
"TBMU","Thick-billed Murre"
"TEWA","Tennessee Warbler"
"TOSO","Townsend's Solitaire"
"TOWA","Townsend's Warbler"
"TRSW","Tree Swallow"
"TRUS","Trumpeter Swan"
"TUPU","Tufted Puffin"
"TUVU","Turkey Vulture"
"UPSA","Upland Sandpiper"
"VASW","Vaux's Swift"
"VATH","Varied Thrush"
"VEER","Veery"
"VESP","Vesper Sparrow"
"VGSW","Violet-green Swallow"
"VIRA","Virginia Rail"
"WATA","Wandering Tattler"
"WAVI","Warbling Vireo"
"WBNU","White-breasted Nuthatch"
"WCSP","White-crowned Sparrow"
"WEBL","Western Bluebird"
"WEFL","Cordilleran or Pacific-slope Flycatcher (Western)"
"WEGR","Western Grebe"
"WEGU","Western Gull"
"WEKI","Western Kingbird"
"WEME","Western Meadowlark"
"WETA","Western Tanager"
"WHWO","White-headed Woodpecker"
"WIFL","Willow Flycatcher"
"WIPH","Wilson's Phalarope"
"WIPT","Willow Ptarmigan"
"WISA","Williamson's Sapsucker"
"WISN","Wilson's Snipe"
"WITU","Wild Turkey"
"WIWA","Wilson's Warbler"
"WIWR","Pacific/Winter Wren"
"WODU","Wood Duck"
"WSJA","Western Scrub-Jay"
"WSOW","Western Screech-Owl"
"WTPT","White-tailed Ptarmigan"
"WTSP","White-throated Sparrow"
"WTSW","White-throated Swift"
"WWCR","White-winged Crossbill"
"WWPE","Western Wood-Pewee"
"WWSC","White-winged Scoter"
"YBCH","Yellow-breasted Chat"
"YBCU","Yellow-billed Cuckoo"
"YBFL","Yellow-bellied Flycatcher"
"YBSA","Yellow-bellied Sapsucker"
"YERA","Yellow Rail"
"YEWA","Yellow Warbler"
"YHBL","Yellow-headed Blackbird"
"YRWA","Yellow-rumped Warbler"
